token1,token2,similarity1,similarity2
acordo,tribunal,2,2
interpretacao,acrescimo,1,1
remedio,moralidade,1,1
equanime,termo,1,1
concurso,correta,1,1
trafego,arte,1,1
expressar,verificase,1,1
virada,pretender,1,1
promessa,administrador,1,1
exame,viena,1,1
configurar,vantagem,1,1
mae,palco,1,1
publico,filho,1,1
hipotese,operar,1,1
justa,excecao,1,2
dinheiro,prestar,2,2
sindicato,agir,1,1
paz,adautar,1,1
governo,nicomaco,1,1
fenomeno,nao,1,1
paco,parede,1,1
chegar,garantir,1,3
encaminhar,sao,1,1
investir,sigilo,1,1
interpor,antiglobalizacao,1,1
continuar,pena,1,1
acertar,morrer,1,1
tijolo,recolhida,1,1
esquema,ceno,1,1
relator,equidade,1,2
conceito,ampliacao,1,3
contador,civilizacao,1,1
terrorismo,demanr,1,1
contrato,ilustracao,1,1
bebado,cometer,1,1
contrapartida,apelacao,1,2
abade,protecao,1,3
retrocesso,arroz,1,1
fornecedor,abolicao,1,1
trazer,alegre,1,1
filosofia,empregador,1,1
entao,estabelecimento,1,1
planejamento,surgir,1,1
guarda,concluir,1,1
representarao,hora,1,1
empregado,caracterizar,1,1
multidao,defensor,1,1
gohn,plenario,1,1
paulo,vencer,1,1
rio,sujeitar,1,1
encontre,chefia,1,1
declarar,indicar,3,3
referida,penitencia,1,1
chefe,item,1,1
cobrar,manifestar,1,2
objetivo,concussao,1,1
conter,rua,1,1
pobre,seguranca,1,1
tonel,assis,1,1
condenacao,avalier,1,1
equitativo,concorrar,1,3
sorte,comando,1,1
refugiado,indenizacao,1,1
omissao,nucleo,1,1
inatividade,realidade,1,3
possibilidade,decorrencia,2,3
intervalo,viragem,2,3
apresentar,ampla,1,1
nota,cia,1,1
fim,contribuinte,1,1
escrito,concentrar,1,1
conflito,servidor,1,1
gramatica,torpe,1,1
cimento,politica,1,1
inspiracao,formar,1,1
povo,cimentar,1,1
irregularidade,dicionario,1,1
assercoes,citar,1,3
compreender,deus,1,1
aquino,especificidade,1,1
socorro,bem,1,1
conjuge,titulo,1,1
excerto,interesse,1,1
responder,carteira,1,1
atender,acesso,1,1
crime,anteprojeto,1,1
fornecida,machado,1,1
justica,representatividade,1,3
resp,dia,1,1
intencao,pratica,3,2
magistrado,solicitar,1,1
exercicio,transacao,1,3
acidente,caso,3,3
atividad,convencimento,1,1
passeio,novidade,1,2
vinculante,imputacao,2,3
fragmentacao,indisciplina,1,3
dificuldade,seculo,1,1
remunerar,corrupcao,1,2
companhia,ciencia,1,1
denunciar,obrigatorio,1,1
instituto,chamar,1,1
podera,obrigacoes,1,1
orientar,confirmar,1,2
periodo,felipe,1,1
dever,mito,1,1
magnitude,recebimento,1,3
brasil,contratado,1,1
proprio,detentor,4,2
ministro,envolver,1,1
marmelada,misturar,1,1
traducao,fraude,1,1
refugiar,manter,1,1
elemento,prelado,1,1
aumento,impessoalidade,1,1
regulamentacao,detrimento,2,1
revogar,condenar,1,1
presenca,anota,1,1
ocorrer,refugio,1,1
abril,termino,1,1
chao,temporaria,1,1
elaboracao,tona,1,1
modelo,revelacao,1,1
furto,forca,1,1
requisito,solicitarar,3,3
permitir,contraditorio,1,1
representacao,prefixar,1,1
posse,chico,1,1
imigracao,janeiro,1,1
publicar,extrair,1,1
relacionar,opcao,1,3
permanecer,quantidade,1,1
animo,reestruturacao,1,3
juridica,homicidio,1,3
seguinte,legitimacao,1,1
extensao,carta,1,1
imposto,repertorio,1,1
vincular,trabalhar,1,2
impugnar,dar,1,1
aplicacao,realizar,1,2
trecho,poder,1,1
vencedor,sedimentar,1,1
orgao,ementa,1,2
cargo,inter,1,1
foro,direito,3,2
paise,formacao,1,2
deixar,limitar,1,2
decisao,funcao,1,1
passo,enunciado,1,1
essencia,julgamento,1,1
fato,advertencia,1,3
relacoes,controle,1,3
descobrir,operador,1,1
voto,deliberar,3,3
ordem,proporcionar,1,1
receita,situacao,1,3
universalidade,liberal,1,1
ideia,atividade,1,3
fetichismo,trad,1,1
receber,prova,1,1
disciplinar,afirmar,1,1
faculdade,conceituar,1,2
continuidade,proposicoe,1,1
pedido,omne,1,1
deparar,comar,1,1
emitir,reconhecir,1,1
questoe,solicitacoes,1,3
problema,salvaguardo,1,2
salvo,tunc,1,1
socio,dizer,1,1
flexibilizacao,requerimento,1,3
empregar,posterior,1,1
resguardar,pronunciar,1,1
aprouver,seguir,1,1
diferenca,maneira,1,3
acionar,tomar,1,3
entendimento,primado,1,1
contratacao,adverter,1,1
originario,homogeneo,1,3
estrito,etico,1,1
situacoes,atuacao,1,2
afinidade,agente,1,1
facilidade,adaptar,3,1
enquadre,cooperacao,1,2
alguir,totalidade,1,1
ministerio,supressao,1,2
relacao,pagamento,1,3
revolucao,responsabilidade,1,1
defesa,tao,1,1
verdade,informacoes,2,3
disciplina,delito,1,3
cultura,dimensao,1,3
estado,bernardino,1,1
pessoal,arena,1,1
incondicionar,real,1,2
conta,empresa,1,1
nunc,monarquia,1,1
trono,acoes,1,1
ajustir,atualidade,1,2
unico,processo,1,1
principio,carteiro,1,1
decisoes,entender,1,3
bolsa,capitalismo,3,1
constituicao,comissariar,1,1
atingir,adotar,1,2
destino,linha,1,1
tendencia,serar,1,1
vigor,cenario,1,1
superveniencia,suprimido,1,1
objeto,mulher,1,1
elaborar,proibicao,1,1
resolucao,desobediencia,1,2
incorreto,aceitar,1,1
deliberacoes,instituicoe,1,1
ocorrencia,pai,1,1
agosto,correto,1,1
max,derecho,1,1
manutencao,assinale,1,1
conduta,pronuncia,1,1
regra,alteridade,1,1
conteudo,expressa,1,3
identificamos,liberdade,1,1
fundamento,ofertar,1,1
prever,adi,1,1
reflexoes,recolhimento,4,5
comissao,duracao,1,1
opiniao,autoridade,1,3
texto,garantia,1,1
necessidade,exija,3,3
componente,obrigacao,1,1
caracteristica,ceu,1,1
naufrago,participacao,1,1
pluralismo,funcionaria,1,1
haver,designacoes,1,1
sumula,maquina,1,1
reformulacao,assessoramento,1,3
cousa,resultado,1,3
mercadoria,inconformar,1,1
decidir,informacoe,1,3
temporar,momento,3,3
metanarrativa,escrita,2,3
suma,estao,1,1
fundamentar,aristotele,1,2
almedina,comparar,1,1
questoes,classificar,1,3
pessoa,direcao,1,1
emprego,indeferir,1,1
grau,relato,1,2
conhecimento,livro,2,2
banir,respeito,1,1
republica,declaracoe,1,2
desenho,indeterminacao,1,1
magnifico,aspecto,1,1
toma,vedacoes,1,1
proveito,enviar,1,1
exercer,fiscalizacao,3,2
realce,radio,1,1
qualidade,descontinuidade,1,3
observancia,humanidade,1,3
articulacao,branco,1,1
dizermos,documento,1,1
universidade,funcoe,1,1
pedir,sentido,1,1
nomeacoes,condao,1,1
democracia,prisao,1,1
weber,cotidiano,1,1
audiencia,medida,1,1
assinar,avaliar,1,1
basear,caio,1,1
imigrante,despotismo,1,1
sentenca,caracter,1,1
promover,contramao,1,1
pau,natureza,1,3
recurso,refeicao,1,1
tornar,alternativa,1,1
testemunha,timido,1,1
gastar,estabelecer,1,1
uniao,senhor,1,1
ver,compositor,1,1
andaime,mende,1,1
prestes,reciproca,1,1
brasilia,abstencao,1,1
ordenar,fixar,3,3
ter,vida,1,1
processar,distrito,1,1
julgar,ementar,4,3
pensamento,progresso,1,3
sinal,explicacoe,1,2
parte,instancia,1,3
consagrar,feijao,1,1
nepotismo,quantia,1,1
racionalidade,subtraia,1,1
percebir,impronunciar,1,1
evolucao,rel,1,2
alicerce,reconhecer,1,1
proposta,tese,3,3
recebida,ano,1,1
instrumento,forma,1,3
motivo,indicio,3,3
inciso,gerente,1,1
concordar,musica,1,1
fisco,economia,2,2
legislador,homem,4,1
transitoriedade,condicao,1,3
base,acao,1,3
joao,mundo,1,1
intuito,ambito,3,2
transcrito,padronizacao,1,3
comite,arquimede,1,1
leiar,malheiro,1,1
apontar,bernardao,1,1
praticar,possuir,1,1
cumprir,indesejada,1,1
letra,movimento,1,2
tamber,impronuncia,1,1
outubro,sacerdote,1,1
eficacia,pretensao,1,2
enunciar,rede,1,1
intimar,municipio,1,1
comportamento,modo,4,3
culpa,patrimonialismo,1,1
recorrer,luta,1,2
representar,tributo,1,2
mencionado,semanal,1,2
determinar,tratar,2,3
interior,expressao,1,1
frase,trabalhador,1,1
injusto,causa,1,1
administracao,heterogeneidade,1,2
suspeita,ramo,1,1
lei,construcao,1,1
pacote,principe,1,1
regime,subtraer,1,1
ilimitar,considerar,1,3
juiz,referir,1,1
desempenho,unir,1,1
recepcao,tanoaria,1,1
tratado,codigo,3,2
via,consciencia,1,1
privilegiar,circulacao,1,1
confessionario,funcionario,1,1
impor,renda,1,1
tracar,silvio,1,1
normar,analisar,2,2
tender,antecedente,1,3
patamar,curso,1,2
ocasiao,livio,1,1
norma,olho,1,1
virtude,investidura,1,1
recusar,totalizador,1,1
percepcao,confissao,1,3
jornada,stf,1,1
cosmologia,mormente,1,1
carmen,outr,1,1
relacoe,livraria,1,1
permanencia,trabalho,1,2
produzir,vaga,1,1
designacao,contanto,1,1
reimp,gratificar,1,1
edunb,oportunidade,1,1
afirmativa,cancao,1,1
producao,salario,1,2
face,rei,1,1
verdadeira,violar,1,1
debate,jul,1,1
sociedade,jackson,1,1
nome,impoar,1,1
admitir,anotar,1,2
discricionariedade,constitucionalidade,2,2
leitura,pais,1,1
tutela,prazo,2,2
efeito,resposta,3,3
constitucionalismo,burocracia,2,2
analise,anterior,1,2
tanoeiro,pecado,1,1
voce,juri,1,1
encontrar,despeder,1,2
ato,presidente,1,1
antonio,lucia,3,1
contratar,mario,1,1
geracao,ouro,1,1
nomeacao,validez,1,1
inconstitucionalidade,afirmacoe,1,1
mandado,graca,1,1
volvir,ultima,1,1
coimbra,coletiva,1,1
alegacao,rota,1,1
priorado,reclusao,1,3
tito,desprovir,1,1
mudanca,conferir,1,1
copia,bonavide,1,2
existir,razao,1,2
preencha,qualificar,1,3
procedimento,fase,3,3
